EventId,EventTime[UTC],EventGPS,PwaveFirstArrivalGPS,EventMagnitude,EventDistance[km],EventDepth[km],EventAzimuthA2B[degree],EventIncidentAngle[degree]
10965448,2018-10-30T02:13:39.550000Z,1224900837.55,1224901183.3405836,6.1,9208.51546026873,227.28,151.31944915170794,27.292954069521969
10965132,2018-10-29T06:54:21.440000Z,1224831279.44,,6.3,17091.417570805686,10.0,150.74208698976074,
10965035,2018-10-28T22:23:54.080000Z,1224800652.08,1224801107.3102114,6.1,12608.803192503668,24.69,51.53698359243388,25.575399800515232
10964158,2018-10-25T22:54:52.590000Z,1224543310.59,1224543813.775863,6.8,9554.44659107731,14.0,314.7693264526247,24.276078701184598
10962405,2018-10-22T06:22:48.810000Z,1224224586.81,1224225209.771242,6.5,7245.148592886101,10.0,45.93741116780625,20.455048816220209
10962403,2018-10-22T06:16:28.160000Z,1224224206.16,1224224827.307763,6.8,7272.9912452026,10.0,45.752084271093665,20.51908234103978
10962400,2018-10-22T05:39:40.330000Z,1224221998.33,1224222620.154897,6.6,7260.9985931272995,10.96,45.93543725950705,20.489198429996872
10962094,2018-10-21T01:40:37.800000Z,1224121255.8,1224121807.3873162,5.9,10827.471954534592,10.0,238.80114201708344,22.8112068585698
10959905,2018-10-16T01:03:43.090000Z,1223687041.09,1223687393.8697743,6.4,7272.157572954246,10.0,146.9584026119764,27.747751637389875
10959899,2018-10-16T00:28:12.710000Z,1223684910.71,1223685263.110287,6.3,7292.82983422577,10.0,147.0642508573474,27.757073618271221
10959364,2018-10-14T12:41:14.450000Z,1223556092.45,1223556524.3402624,5.9,10018.959464653384,10.0,213.85075033399684,26.243313564154995
10958985,2018-10-13T11:10:22.400000Z,1223464240.4,,6.7,2209.274811507342,461.0,29.293427899560147,
10957985,2018-10-10T23:16:02.130000Z,1223248580.13,,6.5,2098.144714955675,20.0,41.15558287189675,
10957964,2018-10-10T22:00:34.500000Z,1223244052.5,1223244282.7756927,6.2,4821.7782778582705,121.0,158.7975178961002,35.072194965893033
10957948,2018-10-10T21:13:14.330000Z,1223241212.33,1223241437.2356746,5.9,4905.257209364766,19.63,160.00026938661813,41.927661057611381
10957945,2018-10-10T20:59:01.880000Z,1223240359.88,1223240581.9099867,5.9,4904.1696189304885,54.03,160.04030593872952,41.277925135607497
10957936,2018-10-10T20:48:20.750000Z,1223239718.75,1223239943.5229414,7.0,4884.810274760034,45.05,159.80164438479642,41.289862391727723
10957939,2018-10-10T20:45:26.530000Z,1223239544.53,1223239770.1896954,6.1,4892.510662537736,53.14,159.6746718797158,40.999490998359413
10957904,2018-10-10T18:44:55.280000Z,1223232313.28,1223232634.2035754,6.0,5412.706351144629,9.0,210.89959612769613,28.377182784245175
10957286,2018-10-09T07:45:11.750000Z,1223106329.75,,6.1,2101.114481950714,20.0,40.81872909584145,
10956445,2018-10-07T00:11:51.220000Z,1222906329.22,1222906669.0167854,5.9,12993.399043777295,24.0,31.962484621054163,27.985385649449253
10954468,2018-10-02T00:16:45.700000Z,1222474623.7,1222474875.3125134,5.9,5494.319624499062,26.0,202.5046968363981,39.576406278041219
10954454,2018-10-01T23:59:42.730000Z,1222473600.73,1222473850.5829537,6.0,5500.075300717613,29.0,202.3505705713775,39.661817468934302
10953779,2018-09-30T10:52:24.240000Z,1222339962.24,1222340347.5387049,6.7,7665.199671677201,564.13,134.3057798319983,25.165779446128301
10953070,2018-09-28T10:02:43.480000Z,1222164181.48,1222164477.638918,7.5,4436.927931276753,10.0,207.94266309714502,33.812074940587088
10953030,2018-09-28T06:59:59.780000Z,1222153217.78,1222153514.4012725,6.1,4462.494581230256,5.19,207.9144906459275,33.834053945881799
10950337,2018-09-21T03:40:40.550000Z,1221536458.55,1221536830.067132,5.9,7505.763649013054,652.35,135.58175726661224,25.134494233602997
10949237,2018-09-18T07:27:41.330000Z,1221290879.33,1221291477.568682,6.0,12181.14190887818,10.0,237.11891152290107,21.296200306923883
10948555,2018-09-16T21:11:48.820000Z,1221167526.82,1221167880.155384,6.5,8080.309915534879,576.0,141.6207271070634,25.911214032453316
10946601,2018-09-10T19:31:37.420000Z,1220643115.42,1220643471.8289576,6.3,7330.718714274578,12.0,146.49159798177456,27.64533460214161
10946332,2018-09-10T04:19:02.630000Z,1220588360.63,1220588755.9818962,6.9,8793.9572912621,115.0,143.42938124479153,26.6885930735104
10946252,2018-09-09T19:31:35.090000Z,1220556713.09,1220557030.1614962,6.5,5732.255935191372,68.0,148.93063268343852,28.275602532419242
10945784,2018-09-08T07:16:49.620000Z,1220426227.62,1220426468.7152388,6.2,3415.4385547983184,10.0,201.43562217829742,40.671961582243178
10945229,2018-09-07T02:12:04.350000Z,1220321542.35,1220321986.7985754,6.2,14720.987765081461,93.53,52.696309280009,25.571047882077004
10944928,2018-09-06T15:49:14.420000Z,1220284172.42,1220284541.2718587,7.9,7516.890738036238,617.87,136.51034001999375,25.352179791579442
10944513,2018-09-05T18:07:59.150000Z,1220206097.15,,6.6,799.7212745995898,35.0,28.302170408578814,
10943671,2018-09-03T23:37:17.590000Z,1220053055.59,1220053524.7712533,5.9,13941.146426345764,10.0,55.730998880560655,25.268170355268229
