date,total,laser,fringe 
2017/01,56.41,64.44,56.55
2017/02,96.61,99.64,96.75
2017/03,80.51,99.38,80.54
2017/04,92.91,99.79,92.95
2017/05,91.14,99.64,91.25
2017/06,88.97,90.48,91.75
2017/07,96.57,95.58,99.81
2017/08,99.98,99.98,100.00
2017/09,90.63,98.84,91.06
2017/10,74.16,86.54,75.10
2017/11,73.85,80.47,75.37
2017/12,82.25,90.55,84.43
2018/01,95.18,99.87,95.24
2018/02,99.71,99.98,99.71
2018/03,84.47,99.53,84.62
2018/04,99.80,99.80,99.80
2018/05,99.87,99.87,99.87
2018/06,99.37,99.37,99.38
2018/07,99.69,99.79,99.70
2018/08,98.94,98.94,99.78
2018/09,94.46,94.58,95.67
2018/10,99.98,99.98,100.00
2018/11,99.99,99.99,100.00
2018/12,99.91,99.91,99.95
2019/01,97.71,97.71,97.85
2019/02,99.97,99.97,100.00
2019/03,99.38,99.38,99.43
2019/04,99.85,99.85,99.92
2019/05,99.88,99.88,99.93
2019/06,99.95,99.95,100.00
2019/07,99.97,99.97,100.00
2019/08,99.88,99.88,99.95
2019/09,99.31,99.31,99.69
2019/10,99.94,99.94,99.96
2019/11,97.37,97.37,99.96
2019/12,99.85,99.85,100.00
2020/01,99.74,99.74,100.00
2020/02,99.74,99.74,100.00
2020/03,99.55,99.55,99.96
2020/04,99.94,99.94,100.00
